"","Federal.Provider.Number","Provider.Name","Survey.Date","Deficiency.Tag.Number","Deficiency.Category","Deficiency.Description","Deficiency.Corrected","Scope.Severity.Code","Correction.Date","total_deaths","State","Geolocation"
"1","015103","ASHLAND PLACE HEALTH AND REHABILITATION, LLC","11/29/2018",838,"Administration Deficiencies","Conduct and document a facility-wide assessment to determine what resources are necessary to care for residents competently during both day-to-day operations and emergencies.","Deficient, Provider has date of correction","C","01/03/2019",21,"AL","POINT (-88.087694 30.690000999999995)"
"2","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","01/10/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","04/05/2019",30,"AZ","POINT (-110.929654 32.172685)"
"3","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","01/10/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","04/05/2019",34,"AZ","POINT (-110.929654 32.172685)"
"4","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","01/10/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","04/05/2019",35,"AZ","POINT (-110.929654 32.172685)"
"5","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","01/10/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","04/05/2019",33,"AZ","POINT (-110.929654 32.172685)"
"6","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","01/10/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","04/05/2019",32,"AZ","POINT (-110.929654 32.172685)"
"7","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","10/05/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/06/2017",30,"AZ","POINT (-110.929654 32.172685)"
"8","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","10/05/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/06/2017",34,"AZ","POINT (-110.929654 32.172685)"
"9","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","10/05/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/06/2017",35,"AZ","POINT (-110.929654 32.172685)"
"10","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","10/05/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/06/2017",33,"AZ","POINT (-110.929654 32.172685)"
"11","035099","SAPPHIRE OF TUCSON NURSING AND REHAB, LLC","10/05/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/06/2017",32,"AZ","POINT (-110.929654 32.172685)"
"12","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",27,"AZ","POINT (-112.202945 33.561938)"
"13","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",26,"AZ","POINT (-112.202945 33.561938)"
"14","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",30,"AZ","POINT (-112.202945 33.561938)"
"15","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",24,"AZ","POINT (-112.202945 33.561938)"
"16","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",28,"AZ","POINT (-112.202945 33.561938)"
"17","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",490,"Administration Deficiencies","Make sure that the facility is administered in an acceptable way that maintains the well-being of each resident .","Deficient, Provider has date of correction","D","07/07/2016",22,"AZ","POINT (-112.202945 33.561938)"
"18","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",27,"AZ","POINT (-112.202945 33.561938)"
"19","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",26,"AZ","POINT (-112.202945 33.561938)"
"20","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",30,"AZ","POINT (-112.202945 33.561938)"
"21","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",24,"AZ","POINT (-112.202945 33.561938)"
"22","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",28,"AZ","POINT (-112.202945 33.561938)"
"23","035154","PROVIDENCE PLACE AT GLENCROFT","05/12/2016",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","E","07/07/2016",22,"AZ","POINT (-112.202945 33.561938)"
"24","055013","EISENBERG VILLAGE","08/10/2018",849,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","08/31/2018",26,"CA","POINT (-118.54375400000002 34.186602)"
"25","055013","EISENBERG VILLAGE","08/10/2018",849,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","08/31/2018",24,"CA","POINT (-118.54375400000002 34.186602)"
"26","055013","EISENBERG VILLAGE","08/10/2018",849,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","08/31/2018",25,"CA","POINT (-118.54375400000002 34.186602)"
"27","055013","EISENBERG VILLAGE","08/01/2018",507,"Administration Deficiencies","Keep complete, dated laboratory records in the resident's file.","Deficient, Provider has date of correction","D","08/21/2018",26,"CA","POINT (-118.54375400000002 34.186602)"
"28","055013","EISENBERG VILLAGE","08/01/2018",507,"Administration Deficiencies","Keep complete, dated laboratory records in the resident's file.","Deficient, Provider has date of correction","D","08/21/2018",24,"CA","POINT (-118.54375400000002 34.186602)"
"29","055013","EISENBERG VILLAGE","08/01/2018",507,"Administration Deficiencies","Keep complete, dated laboratory records in the resident's file.","Deficient, Provider has date of correction","D","08/21/2018",25,"CA","POINT (-118.54375400000002 34.186602)"
"30","055013","EISENBERG VILLAGE","08/10/2017",517,"Administration Deficiencies","Have a detailed, written plan for disasters and emergencies, such as fire, severe weather, and missing residents.","Deficient, Provider has date of correction","B","09/01/2017",26,"CA","POINT (-118.54375400000002 34.186602)"
"31","055013","EISENBERG VILLAGE","08/10/2017",517,"Administration Deficiencies","Have a detailed, written plan for disasters and emergencies, such as fire, severe weather, and missing residents.","Deficient, Provider has date of correction","B","09/01/2017",24,"CA","POINT (-118.54375400000002 34.186602)"
"32","055013","EISENBERG VILLAGE","08/10/2017",517,"Administration Deficiencies","Have a detailed, written plan for disasters and emergencies, such as fire, severe weather, and missing residents.","Deficient, Provider has date of correction","B","09/01/2017",25,"CA","POINT (-118.54375400000002 34.186602)"
"33","055135","MONTROSE HEALTHCARE CENTER","01/26/2018",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","E","02/01/2018",30,"CA","POINT (-118.22426400000002 34.204973)"
"34","055135","MONTROSE HEALTHCARE CENTER","01/26/2018",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","E","02/01/2018",28,"CA","POINT (-118.22426400000002 34.204973)"
"35","055135","MONTROSE HEALTHCARE CENTER","09/16/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","E","09/29/2017",30,"CA","POINT (-118.22426400000002 34.204973)"
"36","055135","MONTROSE HEALTHCARE CENTER","09/16/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","E","09/29/2017",28,"CA","POINT (-118.22426400000002 34.204973)"
"37","055135","MONTROSE HEALTHCARE CENTER","09/15/2019",838,"Administration Deficiencies","Conduct and document a facility-wide assessment to determine what resources are necessary to care for residents competently during both day-to-day operations and emergencies.","Deficient, Provider has date of correction","E","10/08/2019",30,"CA","POINT (-118.22426400000002 34.204973)"
"38","055135","MONTROSE HEALTHCARE CENTER","09/15/2019",838,"Administration Deficiencies","Conduct and document a facility-wide assessment to determine what resources are necessary to care for residents competently during both day-to-day operations and emergencies.","Deficient, Provider has date of correction","E","10/08/2019",28,"CA","POINT (-118.22426400000002 34.204973)"
"39","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",37,"CA",""
"40","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",26,"CA",""
"41","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",21,"CA",""
"42","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",34,"CA",""
"43","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",28,"CA",""
"44","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",24,"CA",""
"45","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","04/24/2018",31,"CA",""
"46","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",37,"CA",""
"47","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",26,"CA",""
"48","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",21,"CA",""
"49","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",34,"CA",""
"50","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",28,"CA",""
"51","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",24,"CA",""
"52","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/20/2017",31,"CA",""
"53","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",37,"CA",""
"54","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",26,"CA",""
"55","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",21,"CA",""
"56","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",34,"CA",""
"57","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",28,"CA",""
"58","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",24,"CA",""
"59","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","F","11/15/2018",31,"CA",""
"60","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",37,"CA",""
"61","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",26,"CA",""
"62","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",21,"CA",""
"63","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",34,"CA",""
"64","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",28,"CA",""
"65","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",24,"CA",""
"66","055293","SANTA ANITA CONVALESCENT HOSPITAL","10/02/2018",772,"Administration Deficiencies","Have an agreement with an approved laboratory to obtain services, if on-site laboratory services aren't provided.","Deficient, Provider has date of correction","D","11/15/2018",31,"CA",""
"67","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",37,"CA",""
"68","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",26,"CA",""
"69","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",21,"CA",""
"70","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",34,"CA",""
"71","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",28,"CA",""
"72","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",24,"CA",""
"73","055293","SANTA ANITA CONVALESCENT HOSPITAL","11/09/2017",520,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies quarterly, and develop corrective plans of action.","Deficient, Provider has date of correction","D","03/07/2018",31,"CA",""
"74","055341","GEM TRANSITIONAL","11/21/2019",773,"Administration Deficiencies","Provide or obtain laboratory tests/services when ordered and promptly tell the ordering practitioner of the results.","Deficient, Provider has date of correction","D","12/18/2019",57,"CA","POINT (-118.150352 34.133578)"
"75","055341","GEM TRANSITIONAL","07/31/2017",500,"Administration Deficiencies","Employ or obtain outside professional resources to provide services in the nursing home when the facility does not employ a qualified professional to furnish a required service.","Deficient, Provider has date of correction","D","08/04/2017",57,"CA","POINT (-118.150352 34.133578)"
"76","055367","MONROVIA GARDENS HEALTHCARE CENTER","11/09/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/12/2018",22,"CA","POINT (-118.012049 34.132153)"
"77","055367","MONROVIA GARDENS HEALTHCARE CENTER","11/09/2018",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","E","12/12/2018",21,"CA","POINT (-118.012049 34.132153)"
"78","055954","WINDSOR GARDENS CONV CENTER OF SAN DIEGO","08/31/2017",518,"Administration Deficiencies","Train all employees on what to do in an emergency, and carry out unannounced staff drills.","Deficient, Provider has date of correction","D","09/25/2017",21,"CA","POINT (-117.09887299999998 32.662761)"
"79","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",526,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","10/20/2017",23,"CA","POINT (-118.077572 33.77319500000001)"
"80","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",526,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","10/20/2017",22,"CA","POINT (-118.077572 33.77319500000001)"
"81","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",526,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","D","10/20/2017",21,"CA","POINT (-118.077572 33.77319500000001)"
"82","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","05/25/2018",770,"Administration Deficiencies","Provide timely, quality laboratory services/tests to meet the needs of residents.","Deficient, Provider has date of correction","D","06/18/2018",23,"CA","POINT (-118.077572 33.77319500000001)"
